student_id,age,gender,study_hours,attendance_pct,previous_marks,assignment_score,internal_assessment,midterm_marks,sleep_hours,final_score
STU0331,22,Male,6.7,70.3,73.8,69.6,84.1,60.3,7.4,62.5
STU0332,22,Female,3.1,61.0,72.0,85.2,44.8,77.5,8.4,63.6
STU0333,21,Male,3.1,88.1,53.9,64.7,61.6,62.8,6.4,54.1
STU0334,19,Male,3.0,77.1,81.6,48.5,91.5,83.4,5.4,73.5
STU0335,22,Male,2.6,57.5,44.5,49.1,54.0,45.8,6.7,48.0
STU0336,19,Female,6.9,69.0,90.8,51.3,46.9,92.6,7.9,66.8
STU0337,19,Male,8.6,70.7,57.9,92.8,59.6,58.1,5.4,63.3
STU0338,18,Female,7.5,87.7,47.0,71.0,53.2,55.5,5.8,41.2
STU0339,21,Female,8.1,51.0,64.3,84.2,95.5,87.5,5.6,76.8
STU0340,22,Male,4.6,63.5,42.3,66.6,92.1,68.8,8.2,64.0
STU0341,17,Male,6.9,75.9,77.7,59.2,70.0,66.0,5.3,59.2
STU0342,20,Male,4.2,63.4,89.6,64.1,43.7,78.6,7.7,62.5
STU0343,17,Female,5.7,81.4,86.0,88.7,82.9,69.8,6.5,71.7
STU0344,21,Male,5.3,74.1,47.0,79.4,77.4,44.8,8.0,59.8
STU0345,20,Female,2.6,68.1,46.9,96.6,98.2,75.5,8.9,68.2
STU0346,21,Female,4.5,97.5,84.7,82.4,73.5,43.0,5.5,62.9
STU0347,19,Male,9.7,81.6,90.8,76.4,60.2,83.4,6.3,69.8
STU0348,20,Male,3.2,56.5,65.3,78.6,71.1,94.4,8.2,75.9
STU0349,19,Female,2.2,78.0,67.4,96.8,98.8,57.6,6.1,75.8
STU0350,17,Female,4.8,89.0,57.5,88.4,81.8,61.7,5.9,70.4
STU0351,17,Female,8.1,85.4,89.2,46.3,80.3,37.8,8.3,55.0
STU0352,20,Male,6.2,58.6,75.5,74.4,54.4,35.8,8.9,51.6
STU0353,20,Female,7.1,98.6,55.9,82.9,84.6,90.3,7.2,74.8
STU0354,22,Male,2.7,72.4,56.4,86.2,85.0,42.7,6.1,56.3
STU0355,21,Female,6.6,58.0,89.0,56.7,59.0,61.7,6.6,59.7
STU0356,22,Female,3.9,59.0,40.7,92.7,69.0,83.9,5.7,69.5
STU0357,21,Male,8.5,54.9,57.7,97.6,57.7,88.4,8.0,64.4
STU0358,22,Female,6.7,90.2,70.5,58.0,55.5,66.2,8.1,51.9
STU0359,19,Male,2.8,56.1,48.2,93.5,41.6,68.9,8.5,55.5
STU0360,20,Male,1.6,56.3,45.1,50.3,57.1,75.2,5.1,45.6
STU0361,17,Female,1.4,92.5,84.8,48.1,73.2,92.7,7.2,71.6
STU0362,21,Male,4.3,67.2,89.2,52.1,40.1,71.2,5.9,54.9
STU0363,21,Male,3.4,51.5,85.3,48.2,57.0,68.6,6.4,56.2
STU0364,17,Female,6.8,52.6,89.4,91.5,92.9,35.9,8.1,72.2
STU0365,22,Male,5.5,57.1,70.4,48.2,75.6,39.9,5.8,53.7
STU0366,21,Male,3.4,60.7,84.7,59.9,76.5,69.6,7.6,67.5
STU0367,19,Male,2.3,83.3,61.1,50.7,64.2,91.2,7.6,61.6
STU0368,20,Female,2.1,57.9,76.6,61.2,80.6,87.0,8.8,68.6
STU0369,17,Male,8.8,55.9,94.4,50.0,51.4,94.0,8.1,63.1
STU0370,20,Female,3.2,88.2,52.4,81.7,89.1,66.7,8.2,67.7
STU0371,21,Female,6.9,83.6,61.4,52.3,47.0,82.3,7.1,53.0
STU0372,21,Male,8.3,71.8,66.4,91.9,79.4,85.4,5.7,70.5
STU0373,17,Male,6.5,77.5,47.6,89.9,60.5,73.9,6.7,61.2
STU0374,19,Male,8.7,65.6,44.5,45.8,84.9,55.3,7.2,48.1
STU0375,18,Female,4.5,74.1,85.6,94.3,73.0,63.2,7.7,73.0
STU0376,17,Male,9.6,75.3,93.7,46.6,67.1,86.5,7.4,68.8
STU0377,18,Male,2.2,69.4,62.3,58.2,50.2,52.9,6.6,54.0
STU0378,22,Male,1.9,95.3,44.8,46.8,78.2,90.4,6.1,57.0
STU0379,18,Male,6.9,50.8,43.6,63.5,98.5,48.8,5.7,63.0
STU0380,19,Male,9.5,89.1,89.0,73.3,89.5,80.0,7.8,78.3
STU0381,22,Female,8.3,56.2,65.5,88.8,43.6,72.8,7.6,60.8
STU0382,18,Female,1.7,89.9,57.6,63.6,62.6,80.0,7.7,64.5
STU0383,22,Male,3.5,80.8,66.2,83.8,95.5,61.2,6.5,70.2
STU0384,18,Male,9.4,92.2,57.5,55.3,70.2,91.0,6.0,61.0
STU0385,19,Male,3.3,54.9,66.9,86.3,79.7,72.9,8.0,69.4
STU0386,18,Male,8.0,77.9,87.3,58.0,94.8,52.3,8.1,67.2
STU0387,18,Female,8.4,75.1,72.6,52.9,92.4,73.3,6.8,68.9
STU0388,18,Male,5.5,85.3,78.2,55.2,70.1,52.2,7.4,63.3
STU0389,17,Female,4.5,76.7,60.1,55.0,66.3,52.6,6.5,53.8
STU0390,17,Female,5.1,77.0,80.6,73.2,60.4,59.0,7.8,62.7
STU0391,17,Male,3.0,71.5,76.7,91.5,83.1,86.1,8.3,78.3
STU0392,19,Female,9.0,65.4,46.6,49.4,57.2,65.0,7.8,53.7
STU0393,22,Female,5.1,74.1,71.5,83.9,55.0,75.7,7.1,63.0
STU0394,21,Female,8.9,55.9,54.1,81.0,61.4,58.5,6.8,58.6
STU0395,18,Female,2.0,98.1,84.2,93.0,50.6,50.8,7.6,65.2
STU0396,18,Male,9.9,85.7,63.4,58.4,81.7,92.3,7.7,68.9
STU0397,19,Male,5.0,97.6,94.7,69.8,77.0,71.2,7.2,66.3
STU0398,18,Female,1.4,61.3,45.1,95.9,69.0,91.0,7.5,69.1
STU0399,17,Male,1.3,94.0,82.9,81.3,63.4,47.2,5.4,64.0
STU0400,21,Male,7.7,90.4,77.1,66.4,94.5,43.8,8.8,67.9
STU0401,20,Male,6.9,83.9,82.2,52.2,41.7,86.3,8.2,56.1
STU0402,18,Male,8.2,81.3,56.9,59.4,86.1,75.9,6.5,64.5
STU0403,17,Male,1.9,65.8,67.1,77.0,94.1,46.2,7.3,67.8
STU0404,20,Female,1.3,90.8,83.8,84.5,66.8,51.2,5.2,62.3
STU0405,21,Male,5.6,75.1,52.8,51.8,73.0,83.0,5.2,57.4
STU0406,20,Male,4.5,53.5,52.4,78.0,96.7,62.2,6.0,68.6
STU0407,17,Male,5.2,65.6,70.3,75.3,52.7,75.2,7.8,59.6
STU0408,22,Male,9.9,96.8,68.8,73.3,71.2,54.1,8.4,61.3
STU0409,22,Female,9.7,92.5,55.5,83.0,68.5,57.9,7.2,57.5
STU0410,20,Female,9.5,99.1,56.4,91.1,55.5,94.4,7.1,72.0
STU0411,19,Female,8.1,81.4,55.3,62.8,89.1,49.9,6.6,61.4
STU0412,20,Female,4.2,62.4,82.4,93.9,94.0,65.4,5.6,75.8
STU0413,18,Male,4.7,58.1,75.9,53.8,86.9,85.7,5.5,68.0
STU0414,18,Female,5.9,59.3,85.8,54.5,51.7,49.4,8.0,52.4
STU0415,22,Male,8.5,51.0,93.7,59.7,45.2,59.9,8.7,59.6
STU0416,19,Male,1.6,69.5,66.1,51.6,76.3,71.9,6.8,62.5
STU0417,17,Male,4.8,59.6,43.7,57.7,43.4,63.9,7.6,44.4
STU0418,18,Male,1.7,70.6,42.6,50.9,80.4,62.6,8.7,54.0
STU0419,22,Male,5.6,96.7,56.3,90.2,71.8,56.8,5.4,61.2
STU0420,21,Female,9.1,71.5,91.3,52.6,79.8,70.2,8.1,72.8
STU0421,22,Female,8.0,93.9,68.8,86.1,75.4,72.5,7.5,67.1
STU0422,18,Female,3.1,80.3,54.9,47.6,65.4,74.2,7.4,57.2
STU0423,18,Female,9.8,62.4,62.0,97.2,52.1,39.2,6.2,61.5
STU0424,22,Male,7.0,67.8,72.9,84.1,58.3,72.9,7.7,64.1
STU0425,17,Female,1.1,54.2,75.9,45.4,71.5,92.2,8.2,62.8
STU0426,20,Male,3.3,66.7,48.5,87.0,79.1,67.5,5.5,66.1
STU0427,18,Female,3.3,83.9,93.7,73.3,86.8,77.9,7.1,70.5
STU0428,22,Male,1.6,53.6,70.0,87.9,86.0,68.4,5.4,71.8
STU0429,22,Male,9.6,60.3,47.5,73.7,98.4,86.3,8.5,65.2
STU0430,19,Female,5.3,69.1,89.1,80.3,57.2,90.8,7.0,75.3
STU0431,20,Male,9.1,99.1,44.1,88.2,44.3,46.1,8.2,49.6
STU0432,21,Male,3.9,89.2,89.9,67.3,60.7,61.2,6.5,63.7
STU0433,17,Female,2.1,86.7,94.8,45.1,84.6,58.5,5.5,63.7
STU0434,21,Male,5.3,55.8,78.5,91.7,66.3,59.3,5.2,62.4
STU0435,20,Female,2.0,89.0,82.4,65.9,89.1,42.5,6.1,68.7
STU0436,20,Female,5.4,89.3,58.6,72.3,73.0,83.8,6.0,64.4
STU0437,20,Female,9.3,80.1,91.8,45.4,95.8,37.1,7.2,74.4
STU0438,21,Male,5.7,99.5,69.1,72.1,96.9,66.7,5.1,67.7
STU0439,20,Male,6.5,66.3,80.3,99.3,44.2,74.7,7.1,65.0
STU0440,22,Male,2.4,97.1,90.8,60.3,67.4,47.4,6.6,58.8
STU0441,21,Female,1.4,95.7,93.6,66.7,76.6,89.4,7.3,73.5
STU0442,20,Male,2.0,50.6,85.8,82.8,55.4,85.3,7.8,73.9
STU0443,22,Female,6.4,72.5,56.7,89.8,64.4,63.3,7.5,64.9
STU0444,19,Female,1.9,98.9,93.2,68.0,80.7,59.7,8.9,64.8
STU0445,20,Male,4.4,55.2,74.5,62.0,53.6,49.2,5.6,58.5
STU0446,21,Female,6.0,77.4,91.2,96.6,76.1,78.8,6.7,79.9
STU0447,18,Male,4.5,98.9,77.2,82.2,81.8,42.9,6.7,66.9
STU0448,20,Male,2.5,77.8,56.9,51.5,45.4,75.8,6.7,49.4
STU0449,18,Male,3.5,59.5,60.4,48.8,69.9,85.5,7.7,58.1
STU0450,22,Male,9.4,79.1,70.3,71.6,55.8,48.7,7.0,57.4
STU0451,19,Male,7.1,60.2,83.5,57.1,83.5,87.0,7.1,70.0
STU0452,17,Female,5.5,76.0,57.5,59.0,51.4,37.0,6.7,51.2
STU0453,19,Female,1.1,53.7,71.9,93.3,93.5,89.8,9.0,76.3
STU0454,20,Female,9.9,80.3,59.0,49.9,65.9,42.1,8.7,45.3
STU0455,18,Male,7.0,75.8,84.9,84.3,51.9,73.7,6.2,62.9
STU0456,18,Male,3.9,87.0,65.7,59.9,66.3,50.0,5.4,51.9
STU0457,21,Male,8.9,81.5,44.2,86.8,64.5,85.2,8.4,62.1
STU0458,18,Female,3.3,77.5,49.1,84.7,65.7,65.7,9.0,59.9
STU0459,21,Male,5.9,84.5,43.4,45.4,75.1,43.1,6.2,48.4
STU0460,22,Female,6.7,57.2,67.5,73.0,71.3,69.3,6.4,65.5
STU0461,17,Female,3.0,79.8,45.8,52.7,49.0,59.5,8.8,45.8
STU0462,20,Male,9.8,58.6,46.3,92.6,43.9,74.7,7.8,56.8
STU0463,21,Male,7.7,96.3,91.8,92.9,83.8,87.9,6.2,86.5
STU0464,17,Female,6.0,53.4,88.0,68.0,73.6,59.6,7.3,70.4
STU0465,18,Male,2.6,71.5,64.9,69.4,61.5,52.4,8.8,57.6
STU0466,18,Female,1.5,84.8,94.2,61.7,88.5,35.9,8.2,68.2
STU0467,17,Male,3.9,72.9,40.0,84.4,63.3,69.5,8.0,51.4
STU0468,18,Male,7.8,54.6,73.8,64.7,87.8,59.1,7.9,63.9
STU0469,22,Female,3.4,77.7,73.9,59.7,58.3,57.5,5.7,55.7
STU0470,22,Male,5.9,82.1,65.2,68.8,44.4,46.0,8.3,48.8
STU0471,17,Female,7.6,85.2,61.8,50.0,96.0,60.8,6.1,58.1
STU0472,21,Male,2.0,68.7,65.0,86.1,63.7,94.1,8.7,69.8
STU0473,21,Female,7.2,78.2,62.8,45.7,87.6,52.9,6.5,62.6
STU0474,17,Female,1.8,72.5,80.2,80.4,56.7,71.0,8.4,64.7
STU0475,21,Male,9.7,83.6,47.4,55.1,78.8,81.6,6.1,62.3
STU0476,21,Female,5.4,79.2,50.9,57.8,92.4,79.9,7.1,64.0
STU0477,22,Male,2.4,76.3,49.9,80.0,42.5,54.7,5.4,49.1
STU0478,21,Male,4.1,62.5,54.4,99.6,89.8,71.7,7.6,73.7
STU0479,19,Male,4.7,50.1,68.9,87.8,74.3,87.3,8.3,67.2
STU0480,20,Female,7.8,58.7,46.1,57.4,76.4,35.9,7.9,44.9
STU0481,18,Female,7.7,55.9,87.7,54.7,71.4,61.1,7.1,59.8
STU0482,19,Male,6.5,72.5,56.4,92.6,92.5,48.5,5.2,69.0
STU0483,21,Male,2.0,80.6,48.9,69.4,42.6,58.3,8.7,49.0
STU0484,22,Female,2.4,60.7,77.2,52.5,55.7,60.0,7.8,57.2
STU0485,17,Male,1.8,97.0,42.1,92.4,92.5,79.8,8.0,73.4
STU0486,21,Male,6.2,50.3,74.1,89.9,85.1,40.6,8.2,63.3
STU0487,22,Female,8.9,88.6,78.4,99.1,41.1,65.8,8.0,67.8
STU0488,20,Male,4.9,81.3,51.8,95.0,71.0,68.9,6.8,63.0
STU0489,21,Female,2.4,68.7,42.3,91.8,71.8,64.6,7.9,58.5
STU0490,17,Male,6.0,52.5,60.0,47.9,64.1,78.9,7.5,57.5
STU0491,22,Female,8.3,81.4,45.4,50.7,57.8,58.0,8.4,49.5
STU0492,22,Male,7.7,69.3,46.4,76.3,80.9,91.7,8.2,65.9
STU0493,22,Male,8.9,96.8,54.0,74.2,52.5,63.9,5.2,57.4
STU0494,20,Female,3.5,77.1,56.3,70.2,87.9,69.3,6.5,64.7
STU0495,21,Male,2.7,97.0,69.1,66.8,88.2,84.5,5.1,69.4
STU0496,20,Female,8.9,61.0,77.3,68.7,64.9,51.5,5.4,59.7
STU0497,18,Male,6.9,86.3,72.6,76.3,57.0,39.5,7.4,57.3
STU0498,18,Female,3.8,80.9,48.2,45.1,57.0,77.5,8.5,47.3
STU0499,21,Female,7.7,87.0,49.5,59.3,68.9,64.0,5.5,52.2
STU0500,20,Female,8.3,60.7,88.3,73.5,83.2,88.8,6.8,75.5
STU0501,17,Female,6.5,83.2,70.7,84.7,61.5,94.0,8.6,71.4
STU0502,22,Male,7.2,74.9,87.8,54.6,76.6,58.9,8.3,71.3
STU0503,22,Male,4.4,87.1,60.4,75.1,62.9,59.9,7.1,58.0
STU0504,21,Female,5.8,66.4,73.8,84.3,58.3,59.5,8.1,57.3
STU0505,18,Female,5.7,94.5,68.8,69.5,41.5,54.5,7.1,50.9
STU0506,18,Female,8.6,54.2,57.6,46.5,40.2,81.9,5.6,53.4
STU0507,22,Male,8.6,90.4,65.8,69.7,53.6,80.5,5.5,58.3
STU0508,21,Male,8.5,93.1,67.6,61.3,64.4,63.7,5.8,55.4
STU0509,20,Male,1.1,90.9,51.0,96.1,91.1,37.7,6.4,64.4
STU0510,18,Male,7.7,75.6,57.3,51.9,87.9,53.6,8.7,59.9
STU0511,20,Female,7.8,71.9,83.5,80.9,56.0,52.5,8.2,58.3
STU0512,18,Female,7.1,99.8,90.4,47.9,54.7,83.7,6.7,61.0
STU0513,18,Female,7.8,61.5,59.8,69.5,53.6,40.3,7.0,55.2
STU0514,19,Male,8.6,77.3,56.9,75.5,60.4,83.3,6.1,64.9
STU0515,18,Male,5.2,83.5,50.7,61.4,69.9,75.2,7.8,54.7
STU0516,17,Male,5.5,85.0,77.3,70.0,66.3,78.9,8.2,60.5
STU0517,21,Female,2.1,60.2,57.8,54.0,53.1,60.9,6.0,51.8
STU0518,21,Female,4.5,82.7,94.3,61.7,47.8,75.8,5.2,62.8
STU0519,20,Male,6.8,90.9,57.9,79.2,40.8,71.5,7.5,56.4
STU0520,18,Female,8.0,52.5,61.7,61.6,49.2,81.1,7.3,59.4
STU0521,17,Male,3.0,95.6,73.2,94.5,82.3,61.8,6.6,67.7
STU0522,20,Male,2.2,51.5,84.1,79.6,54.6,63.4,7.6,62.3
STU0523,19,Female,7.0,67.8,65.8,69.1,68.1,73.6,7.2,60.4
STU0524,20,Male,1.0,50.8,63.2,47.1,75.5,41.5,6.0,50.0
STU0525,20,Female,2.6,53.9,94.8,72.5,93.2,61.2,6.6,75.8
STU0526,18,Male,1.3,95.6,40.6,87.1,93.3,93.3,6.7,70.2
STU0527,19,Female,2.5,67.7,89.2,59.6,84.7,37.3,8.5,58.5
STU0528,20,Female,2.6,71.2,48.2,89.4,42.1,54.0,8.8,53.8
STU0529,17,Female,4.5,60.8,83.2,58.8,74.5,53.8,8.6,61.6
STU0530,17,Male,4.6,79.9,74.0,90.3,87.2,73.0,7.9,76.0
STU0531,21,Male,8.9,79.7,58.8,49.7,41.0,41.3,7.3,41.4
STU0532,19,Female,5.6,68.6,88.1,92.6,73.0,72.7,7.8,71.4
STU0533,19,Female,7.5,66.7,40.7,72.5,91.5,40.7,8.8,57.6
STU0534,21,Male,1.9,94.2,52.5,61.3,68.4,40.7,6.0,47.6
STU0535,20,Male,3.0,69.2,71.2,59.6,40.2,78.7,7.1,55.1
STU0536,19,Male,7.3,74.7,59.3,68.8,40.7,54.4,7.8,47.1
STU0537,17,Female,1.5,64.2,73.6,99.9,65.0,93.6,7.7,72.4
STU0538,17,Male,5.4,89.3,41.3,57.1,49.3,37.2,6.0,42.2
STU0539,18,Male,6.4,69.9,46.4,50.7,79.9,61.7,7.3,55.1
STU0540,19,Female,6.4,75.7,47.0,77.2,82.5,41.8,8.2,56.0
STU0541,20,Male,1.2,62.7,50.4,71.9,50.7,56.1,6.9,52.1
STU0542,21,Male,3.9,99.4,65.3,73.8,93.3,94.9,8.2,74.4
STU0543,21,Male,6.7,64.6,81.4,81.7,66.5,88.3,6.4,71.7
STU0544,20,Female,2.3,88.5,89.8,59.7,48.6,37.9,8.8,52.6
STU0545,22,Female,7.3,71.4,85.9,95.1,85.9,68.8,7.1,80.0
STU0546,18,Female,7.7,60.3,50.8,69.0,87.4,73.9,7.4,65.4
STU0547,21,Female,9.8,90.0,64.3,52.1,78.4,47.6,5.1,54.0
STU0548,19,Female,2.9,66.7,51.0,85.8,91.2,43.7,5.7,63.8
STU0549,18,Female,8.4,93.3,54.5,80.4,84.2,89.3,7.5,72.5
STU0550,19,Female,5.7,95.8,67.7,62.4,92.9,93.1,6.7,71.9
STU0551,17,Male,4.4,93.0,43.7,79.2,66.0,94.5,7.0,62.8
STU0552,18,Male,2.1,51.8,52.0,57.1,84.9,82.4,5.3,56.3
STU0553,21,Female,7.6,89.4,91.4,69.5,100.0,74.8,8.3,75.3
STU0554,18,Male,3.1,70.6,65.6,94.5,83.5,55.7,8.1,70.3
STU0555,18,Male,4.3,93.7,64.5,52.3,46.9,45.3,5.7,45.7
STU0556,18,Female,1.6,81.9,40.8,66.3,71.1,39.7,7.5,48.9
STU0557,22,Male,8.2,91.7,53.6,90.2,75.2,76.6,8.3,64.2
STU0558,18,Male,7.9,75.0,87.6,98.3,50.5,82.1,7.6,72.5
STU0559,19,Male,7.6,76.8,49.1,70.0,97.8,84.6,6.2,70.0
STU0560,17,Male,3.7,57.2,62.8,72.9,50.5,89.8,7.6,62.7
STU0561,20,Male,2.6,89.2,40.8,76.5,50.7,87.8,5.8,52.7
STU0562,18,Female,6.7,71.0,66.3,96.3,94.9,95.0,6.3,79.9
STU0563,21,Female,5.5,75.0,41.2,92.2,67.9,49.6,6.0,61.2
STU0564,18,Female,2.6,89.3,85.1,54.4,43.8,80.8,7.2,61.9
STU0565,21,Male,7.2,79.9,85.4,69.0,75.9,70.2,5.4,69.5
STU0566,19,Female,9.9,60.1,83.3,70.5,76.1,50.7,8.7,59.8
STU0567,21,Male,7.7,79.5,55.6,88.4,43.9,93.9,6.3,61.7
STU0568,20,Male,7.7,70.4,86.0,78.2,98.4,88.9,5.9,85.6
STU0569,17,Male,9.6,73.5,69.9,81.0,72.6,42.7,7.0,65.8
STU0570,21,Male,2.8,51.4,60.6,99.9,73.6,36.6,6.1,62.7
STU0571,21,Female,6.1,60.5,74.4,49.1,71.2,76.3,7.1,60.2
STU0572,17,Female,9.8,64.1,40.7,57.3,76.6,71.2,6.4,56.7
STU0573,20,Male,2.5,85.6,47.9,67.4,55.9,91.1,5.5,60.3
STU0574,18,Female,7.3,50.6,80.8,64.1,57.2,49.0,6.1,61.0
STU0575,21,Male,6.3,70.4,53.4,46.2,70.7,40.1,6.8,50.2
STU0576,17,Female,6.3,96.2,72.9,50.0,88.4,50.6,5.1,64.0
STU0577,19,Female,7.3,55.6,61.2,82.5,43.0,36.1,8.1,50.7
STU0578,17,Male,9.4,75.8,87.0,93.4,76.2,37.2,7.5,68.0
STU0579,19,Female,8.0,89.3,92.4,73.3,88.4,89.9,7.4,77.7
STU0580,20,Male,1.5,97.1,88.6,74.7,49.4,56.1,7.2,62.2
STU0581,18,Female,8.7,87.3,54.9,59.0,40.9,59.6,7.4,52.0
STU0582,17,Male,3.0,86.0,50.7,87.2,58.8,36.1,8.7,54.6
STU0583,22,Male,4.4,91.3,66.1,86.3,75.3,51.2,5.0,59.9
STU0584,21,Female,5.2,72.3,40.4,77.4,48.3,83.3,5.2,51.6
STU0585,20,Female,5.3,90.3,41.4,56.7,65.6,71.9,5.8,56.6
STU0586,17,Male,4.9,50.4,70.4,50.3,73.1,80.2,5.7,63.2
STU0587,21,Female,9.4,96.2,68.6,48.5,75.9,61.8,5.7,60.2
STU0588,17,Female,7.4,72.2,94.7,77.6,56.5,53.6,7.7,65.7
STU0589,19,Male,6.7,77.7,51.1,90.4,64.0,64.0,6.8,65.9
STU0590,17,Male,1.4,62.7,54.2,92.2,86.7,54.4,9.0,63.4
STU0591,22,Female,9.1,87.1,46.2,70.5,96.5,85.3,5.9,71.5
STU0592,17,Male,9.2,53.8,90.5,88.1,91.7,52.9,6.2,75.8
STU0593,17,Male,8.0,93.6,82.8,97.1,73.9,74.6,8.9,69.9
STU0594,22,Male,1.1,91.4,85.2,60.1,64.6,43.2,8.3,55.8
STU0595,20,Female,1.5,60.8,89.7,66.9,60.0,76.2,6.9,64.4
STU0596,17,Female,3.0,90.5,68.9,96.2,47.5,89.8,7.2,70.0
STU0597,22,Male,2.2,89.3,64.8,63.6,46.4,71.5,8.4,58.8
STU0598,21,Female,4.6,81.6,58.2,95.3,81.3,68.6,6.9,69.4
STU0599,19,Male,9.3,68.7,72.4,99.0,55.6,92.7,5.8,70.2
STU0600,19,Female,5.2,63.6,65.0,81.4,55.3,72.6,8.3,58.9
STU0601,17,Male,1.1,61.6,64.8,89.9,99.9,50.6,7.2,72.9
STU0602,20,Male,3.5,65.9,91.5,86.2,51.3,52.5,5.6,60.1
STU0603,20,Female,1.4,95.2,94.1,83.5,48.9,77.3,7.0,67.8
STU0604,21,Male,1.3,53.9,83.8,61.9,45.9,79.1,6.7,67.9
STU0605,17,Female,3.5,91.4,81.6,48.1,74.8,53.2,8.5,58.3
STU0606,19,Female,3.5,67.4,77.4,63.9,77.7,55.7,5.5,59.4
STU0607,20,Male,8.1,76.1,49.1,81.7,61.9,94.5,8.5,58.9
STU0608,17,Male,9.8,89.7,43.3,50.6,72.1,41.1,7.0,55.9
STU0609,20,Female,4.3,94.2,78.0,45.7,87.3,59.3,6.6,64.0
STU0610,22,Male,4.9,67.2,80.1,52.7,89.1,38.7,5.6,58.7
STU0611,20,Male,8.6,73.1,42.6,84.4,97.5,84.3,7.8,69.5
STU0612,19,Male,3.4,70.7,91.0,98.5,89.5,40.5,8.7,71.4
STU0613,18,Male,2.4,50.7,45.0,99.1,73.9,75.4,6.5,59.4
STU0614,21,Male,8.7,64.8,55.7,72.2,50.8,38.4,6.0,52.4
STU0615,21,Female,1.4,73.0,77.0,92.8,46.0,75.4,7.2,64.7
STU0616,19,Female,6.6,70.6,49.3,85.5,43.3,85.6,8.2,60.5
STU0617,20,Male,6.1,86.1,43.0,72.6,80.0,58.9,5.0,58.0
STU0618,17,Male,4.1,69.2,58.2,76.5,88.5,66.3,7.5,66.2
STU0619,20,Male,3.8,74.5,82.1,52.5,70.5,59.1,7.4,54.3
STU0620,19,Female,7.9,71.5,62.8,96.6,43.3,53.0,6.3,60.4
STU0621,21,Male,1.8,87.0,75.9,64.4,72.1,83.2,6.8,63.5
STU0622,20,Female,3.1,93.1,71.9,69.5,96.1,51.3,6.0,64.1
STU0623,21,Female,7.6,76.6,41.2,81.9,75.9,78.4,8.2,60.9
STU0624,17,Female,5.9,89.5,94.4,63.4,88.6,47.4,7.5,62.6
STU0625,21,Male,2.2,64.8,42.3,59.0,88.0,50.0,7.1,53.0
STU0626,21,Female,8.9,77.1,93.2,79.7,95.9,55.2,6.6,73.6
STU0627,18,Male,4.5,67.3,70.2,46.4,86.2,70.3,6.2,62.0
STU0628,18,Female,8.5,70.7,93.0,84.6,84.9,62.3,8.3,70.0
STU0629,22,Male,8.1,86.6,46.3,73.3,54.0,79.7,6.8,59.7
STU0630,18,Female,6.6,94.1,67.0,78.3,43.6,47.8,7.0,55.1
STU0631,21,Male,5.5,56.1,49.3,79.8,71.1,35.6,7.1,51.4
STU0632,19,Female,9.8,81.7,42.8,74.0,47.5,81.6,6.8,53.4
STU0633,21,Male,2.3,79.1,74.0,77.0,97.7,84.3,6.0,78.0
STU0634,19,Male,7.5,55.9,51.4,82.6,57.4,38.6,5.5,51.8
STU0635,19,Male,2.7,60.6,72.3,86.4,91.2,71.7,5.4,69.2
STU0636,18,Male,4.0,65.6,46.2,85.0,63.3,57.7,8.0,56.3
STU0637,20,Female,3.8,58.3,58.3,92.8,59.4,82.6,5.9,61.8
STU0638,17,Female,9.5,62.2,83.0,55.4,96.1,87.5,5.2,72.7
STU0639,18,Male,9.7,63.4,64.0,67.1,61.8,86.1,8.2,63.4
STU0640,18,Female,2.6,66.8,74.5,97.1,63.4,81.6,5.6,73.8
STU0641,20,Male,1.2,87.5,75.6,66.8,46.4,51.1,7.5,60.3
STU0642,17,Male,7.5,78.6,86.4,51.9,80.2,83.7,6.4,74.0
STU0643,21,Female,4.8,99.3,57.9,73.9,57.3,67.0,5.5,57.5
STU0644,22,Male,1.8,70.7,77.8,51.0,75.1,38.2,6.7,63.1
STU0645,22,Male,7.2,87.7,92.9,56.2,75.5,62.4,5.1,68.6
STU0646,21,Female,5.9,93.6,80.2,99.9,83.2,91.5,8.4,77.1
STU0647,18,Male,9.8,83.9,66.9,74.8,84.7,88.3,7.1,72.3
STU0648,17,Male,3.0,70.6,74.7,60.6,70.9,41.1,5.6,55.2
STU0649,18,Male,4.6,87.7,80.7,99.7,59.9,79.6,5.9,68.0
STU0650,19,Male,5.9,60.2,73.7,98.2,90.2,83.3,6.8,74.6
STU0651,18,Female,8.1,66.4,40.9,69.2,58.6,51.3,5.8,49.7
STU0652,18,Female,5.9,77.3,50.7,59.3,70.5,63.3,6.1,58.0
STU0653,21,Female,6.5,78.8,84.6,91.1,64.1,77.7,7.1,75.1
STU0654,21,Male,3.0,51.1,55.0,84.4,91.3,61.3,8.3,62.4
STU0655,21,Male,8.6,97.3,80.2,82.8,65.9,41.8,6.6,61.8
STU0656,22,Female,4.9,84.8,60.5,94.1,63.2,77.4,7.9,67.4
STU0657,19,Male,2.3,74.8,68.7,82.9,81.4,89.7,8.5,72.8
STU0658,21,Male,7.0,96.7,43.7,60.6,76.1,74.1,5.9,60.0
STU0659,17,Male,2.9,72.0,50.0,83.2,46.4,81.4,8.2,56.2
STU0660,22,Male,1.9,99.0,92.6,61.8,70.5,56.5,8.0,68.5
STU0661,20,Female,8.8,75.6,89.0,86.8,84.1,46.0,6.4,71.1
